#x_SLW1,S_SLW1,#x_SLW,S_SLW,#x_LBL,S_LBL
#[m],[kW/m3],#[m],[kW/m3],#[m],[kW/m3]
0.17032,0.58524,0.08837,1.45243,0.10882,1.45302
0.58685,2.39723,0.29282,1.74821,0.27237,1.74762
0.98475,5.14721,0.49722,2.33385,0.43587,2.33207
1.38248,8.88083,0.76297,2.92126,0.70162,2.91948
1.7895,12.43804,0.94687,3.79615,0.88547,4.08423
2.19689,13.89428,1.23287,5.54357,1.13062,5.54061
2.58655,10.62278,1.43717,6.70892,1.33497,6.4161
2.99579,1.14081,1.68232,8.1653,1.49842,7.2904
3.3967,-13.75146,1.88667,9.04079,1.68232,8.1653
3.80728,-31.06077,2.13197,9.62761,1.92757,9.04197
4.20831,-46.7397,2.31606,9.34309,2.15251,9.04849
4.60835,-56.54783,2.56171,7.90093,2.37761,8.18545
5.01629,-58.3505,2.78715,5.00892,2.56191,6.74152
5.41349,-51.51078,2.95129,1.82527,2.7054,4.71669
5.80023,-37.64618,3.05408,-1.36016,2.82844,2.69127
6.20493,-20.45887,3.15683,-4.25573,2.95149,0.66585
6.60039,-3.41628,3.25952,-6.86145,3.05418,-1.93987
7.00574,9.95345,3.34176,-9.46776,3.15688,-4.54558
7.40276,17.87948,3.42411,-12.65378,3.23912,-7.1519
7.80068,20.50531,3.527,-16.41891,3.32126,-9.1785
8.20853,19.17218,3.58884,-19.31567,3.38301,-11.49555
8.60749,15.70836,3.67108,-21.92198,3.48575,-14.39112
9.01577,11.88589,3.73303,-25.39845,3.5476,-17.28788
9.41472,8.49529,3.81537,-28.58447,3.62984,-19.89419
9.82284,5.58245,3.87721,-31.48123,3.71208,-22.50051
,,3.93906,-34.37799,3.79428,-24.81696
,,4.0214,-37.564,3.87652,-27.42328
,,4.06279,-40.46136,3.95886,-30.6093
,,4.14508,-43.35752,4.04121,-33.79531
,,4.20693,-46.25428,4.103,-36.40222
,,4.28927,-49.4403,4.18524,-39.00853
,,4.37161,-52.62632,4.26749,-41.61484
,,4.47436,-55.52189,4.34963,-43.64145
,,4.57715,-58.70732,4.43183,-45.95791
,,4.67994,-61.89274,4.51392,-47.69466
,,4.84403,-64.78654,4.61662,-50.30037
,,5.04883,-66.51973,4.73971,-52.61565
,,5.27363,-65.64365,4.9241,-54.63929
,,5.45728,-63.31949,5.1287,-55.21307
,,5.55904,-60.41799,5.29215,-54.33877
,,5.66074,-57.22663,5.43505,-52.88535
,,5.7624,-53.74542,5.53691,-50.56355
,,5.8436,-50.26481,5.63881,-48.53162
,,5.92496,-47.65376,5.76096,-45.33967
,,5.98581,-44.75344,5.84232,-42.72862
,,6.04667,-41.85313,5.92367,-40.11756
,,6.12788,-38.37251,5.98463,-37.79695
,,6.16833,-35.76264,6.04563,-35.7662
,,6.22909,-32.28262,6.12689,-32.57544
,,6.28989,-29.09245,6.20814,-29.38468
,,6.37125,-26.4814,6.2691,-27.06407
,,6.41165,-23.58168,6.3503,-23.58346
,,6.49291,-20.39092,6.41126,-21.26285
,,6.53331,-17.4912,6.51287,-17.49179
,,6.59412,-14.30103,6.57377,-14.88133
,,6.67543,-11.40012,6.65508,-11.98042
,,6.73623,-8.20995,6.73633,-8.78966
,,6.79709,-5.30964,6.81759,-5.5989
,,6.87839,-2.40873,6.91934,-2.6974
,,6.9597,0.49218,7.0005,1.07307
,,7.04095,3.68294,7.1226,4.55487
,,7.14266,6.87429,7.24481,7.45696
,,7.26481,10.06624,7.36711,9.77935
,,7.40747,12.96893,7.50987,12.10233
,,7.63197,15.58413,7.69352,14.42649
,,7.85672,16.75006,7.87742,15.30139
,,8.06127,16.46614,8.08187,15.59717
,,8.30687,15.31384,8.28651,14.73354
,,8.51166,13.58064,8.51166,13.58064
,,8.7983,11.55996,8.71645,11.84745
,,9.0031,9.82677,8.92115,10.69396
,,9.20784,8.38343,9.14644,8.6715
,,9.45349,6.94127,9.47399,6.65201
,,9.65818,5.78779,9.69908,5.78897
,,9.92418,4.92593,9.92423,4.63608
